left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,shoulder_width,hip_width,torso_length,elbow_symmetry,knee_symmetry,frame,timestamp
155.42650616477422,153.0172481920444,53.38910995942185,50.43870071714755,47.68335320047131,46.43644482712169,138.44183558490167,131.9834427315141,0.02867730412300756,0.006520389111353054,0.30976869173344107,2.4092579727298187,6.458392853387579,0,0.0
154.2317563665123,152.86167043250833,53.216339944747844,49.778256451840065,47.94199701442666,46.64371098245597,138.09474913281488,131.9097346301874,0.030263265825485858,0.007783560565206316,0.30816437997243734,1.3700859340039528,6.185014502627496,1,0.016829039301310043
153.66750438851395,152.53911816514255,53.037493375115254,49.287826269121126,48.36531225981215,46.75818822749368,138.18129058415727,131.7766135113729,0.03136677509612483,0.008601828208735363,0.3066282762595541,1.1283862233713933,6.404677072784381,2,0.03365807860262009
153.24944009370185,152.44461849682833,52.895922726430925,49.14411760612344,48.60488062943339,46.7442373936123,138.1430771888222,131.6489490986694,0.03186868930531646,0.00933479827677582,0.3058286525276788,0.8048215968735235,6.494128090152799,3,0.05048711790393013
152.51599115292532,152.18473709020046,52.43233870852614,48.81866661226246,48.91201602841798,46.78597137983995,138.26607052350303,131.6382849357999,0.032044502603948144,0.009973616265165982,0.3055268746929609,0.33125406272486657,6.62778558770313,4,0.06731615720524017
152.48711212559297,151.90314997647783,52.12802697862405,48.3931338936867,49.20233279258598,46.88097269539805,138.272971733398,131.63057867656417,0.03310046662880336,0.009638123359704891,0.30586199807013315,0.5839621491151377,6.642393056833839,5,0.08414519650655021
152.96625253074882,151.77948291272236,50.87042009675382,47.89016027656147,49.69324519680081,47.23758738939532,138.49028053549532,131.77475300735134,0.03412182129076324,0.008624238726110789,0.30601988273832376,1.1867696180264602,6.71552752814398,6,0.10097423580786026
156.1539293399819,151.96376240311997,49.819363658282334,47.75623370039689,50.03910680970723,47.5200282696599,138.53455255331414,131.74693252365338,0.03612088374401741,0.006815946873503201,0.3055051251588184,4.190166936861914,6.787620029660758,7,0.1178032751091703
157.88494738354782,152.46767596213226,49.02272939168714,47.714258064990865,50.21608784609798,47.53160646563638,138.4030020130352,131.70568153318823,0.03633676174250178,0.00676456943684445,0.3057166333740762,5.417271421415563,6.697320479846979,8,0.13463231441048035
160.58344252836832,152.95868853350038,46.18677507398126,47.64141898847237,50.57525808442855,47.77883910440732,138.09928510956595,131.65519150617263,0.03695159580273574,0.0060077437935745345,0.30561635486908406,7.624753994867945,6.444093603393327,9,0.1514613537117904
162.57290155157463,152.98894814331882,42.552387980354354,47.37782484979831,51.01417536553418,47.99399546652707,138.26934552720138,131.40610153261764,0.038056310689751315,0.005430331149003869,0.3049539770236341,9.583953408255809,6.8632439945837405,10,0.16829039301310042
164.37759736819112,152.84255685453334,40.66590360175372,47.03411304425129,51.323066695435266,48.03756189709978,137.52954746167646,131.02588390392523,0.03843546711567148,0.0054960714165723755,0.30492423036714655,11.535040513657776,6.503663557751224,11,0.18511943231441047
173.05229175822018,152.4850546063043,38.681207988810435,46.08908616854976,51.65833837782169,47.87295384518639,137.6852621958699,129.83846602845492,0.038751548499305934,0.005625705797825314,0.30509412949371595,20.56723715191589,7.846796167414993,12,0.20194847161572052
166.48338375306892,152.8191671924317,38.992141881575265,45.45112997004565,51.95045025089852,48.14953811431993,137.15317401454266,129.1654849909294,0.04007269052653185,0.006855323809251217,0.3046063116772764,13.664216560637215,7.987689023613257,13,0.21877751091703057
164.92777685302002,154.58566522494493,39.57084024318225,45.07789905759212,52.407890363373504,48.93279479363184,137.38923289890403,129.72675106994743,0.041440227628419805,0.009401166541484672,0.3040932846560956,10.342111628075088,7.662481828956601,14,0.2356065502183406
163.95126799862769,154.91692680026947,39.95969521433068,44.574161958769196,53.104802290967086,49.88027656086113,137.9775113316067,130.57830429383554,0.04357107373066175,0.012712919248411244,0.302465885271354,9.03434119835822,7.399207037771163,15,0.25243558951965067
166.88778856520716,155.22013244298464,39.449303441356854,43.863292573091435,53.72232359256521,50.4975348502138,138.25775186384257,131.0316576503884,0.04593194416678969,0.01454141568673508,0.3004186258019346,11.667656122222525,7.226094213454161,16,0.2692646288209607
178.22446438142106,153.09331426823047,35.43096303215073,42.83053759835075,53.46905927151712,50.7088859265723,88.90376890010464,131.23331924220835,0.045861195744779044,0.013752777836456214,0.2980289288110676,25.131150113190586,42.329550342103715,17,0.2860936681222707
171.01441197950652,151.86630718715853,34.41077684669965,42.10206774760717,53.81628058228092,51.10868607603616,84.42187329193985,131.92945728206024,0.045331095687689185,0.014489187612691077,0.29660861868759897,19.148104792347993,47.507583990120395,18,0.3029227074235808
