left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,shoulder_width,hip_width,torso_length,elbow_symmetry,knee_symmetry,frame,timestamp
147.25619855078213,143.7171075232365,32.711875934529616,36.0519178237589,39.83806349259227,30.410988082841172,114.06543180794992,93.18154318571914,0.03526799129841045,0.023150482087640076,0.36495588111457733,3.5390910275456235,20.883888622230785,0,0.0
147.7084210456157,143.19702620528884,32.7656978208684,35.44516368905162,40.69250687683415,31.194964160072285,111.13734977718167,94.1009140619725,0.03386070899688209,0.022188684679215847,0.36263519046112946,4.511394840326858,17.036435715209166,1,0.01709868603042877
150.85414699487794,142.71691437965367,31.715087776215057,34.84268386789772,42.961167632947856,31.8263567028836,112.63113694622976,95.19641221979725,0.03345266901368997,0.02230184838467532,0.36246251923836365,8.137232615224264,17.434724726432506,2,0.03419737206085754
152.6369831157784,142.15803921717716,31.287446325722783,34.69255639253417,43.078571804741394,32.603206820362196,112.78808718296764,97.02700711992117,0.03424276323075111,0.02278046153000805,0.3622696767442153,10.478943898601244,15.761080063046478,3,0.05129605809128631
151.917571074891,141.98743905575543,32.23287267161368,34.920518398449566,42.99381795409336,32.93127633329901,112.87334349264106,98.05856209482846,0.03455252194378252,0.02199310078928895,0.36102219677842934,9.930132019135556,14.814781397812595,4,0.06839474412171508
153.59213418011416,141.86513659333357,32.34941583390208,34.910654832931044,42.772605374449356,33.27992844975526,112.35668748362824,99.5843427775477,0.03451307159507695,0.020849961571798685,0.3601120103798991,11.726997586780584,12.772344706080531,5,0.08549343015214385
156.44863695362554,141.63732742029728,32.449272222839774,34.800393314631535,42.656600431090894,33.83355732814228,112.12745217836408,101.31675049763061,0.035600411001304684,0.021169214981246548,0.3593157357226113,14.811309533328256,10.810701680733473,6,0.10259211618257262
157.37816442900765,141.57594573657786,32.42268170582285,34.827628770089696,42.48333434878062,34.079853006766385,111.86732745171486,102.22074657576684,0.03618656159712493,0.021225965277221065,0.3585420326859147,15.80221869242979,9.646580875948018,7,0.1196908022130014
157.84566974462766,141.54302653113723,32.545222063204875,34.876959977577634,41.9893450071909,34.11991960376158,111.17059088479803,102.33741409147024,0.036762955218689726,0.021717834793034355,0.3582861821686723,16.302643213490427,8.833176793327794,8,0.13678948824343015
157.74606603436754,141.58452245713175,32.68161873310764,34.928884645538105,41.30797000319628,33.710065576004936,110.55946695692941,101.92973224342393,0.03741438948623951,0.02207396688258867,0.35813229661435625,16.16154357723579,8.629734713505485,9,0.15388817427385892
