frame,person_confidence,roi_coords,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
1,0.8991313576698303,"(0, 58, 239, 480)",142.5728044653958,137.73484025834892,38.84695358342657,26.370073444965936,38.36740075949224,48.78808733316535,71.78225600839092,79.7886381194385,0.01325096478353846,0.03291359468499632,0.4352226978297713,4.837964207046866,8.006382111047586
2,0.8986340761184692,"(0, 59, 238, 480)",141.34679446586983,145.89586345657497,38.724722095039745,31.530494331618236,37.950411673291356,43.071083748143124,74.30366068045869,78.24598047461099,0.01885032301596555,0.031887401886357844,0.4379524687702468,4.549068990705138,3.942319794152297
3,0.8992137908935547,"(0, 58, 238, 480)",138.55574318983815,147.25653501260464,38.94528315231434,33.16230620804503,37.792663309822565,43.29551140847416,74.66962419637662,81.08948306861521,0.02209019457285645,0.025926137459069694,0.43727389851658993,8.70079182276649,6.419858872238592
4,0.8999029397964478,"(0, 58, 238, 480)",136.2264118124026,136.18101757229746,38.84854566073688,28.306249910574792,38.113270565121894,44.36396969573937,75.94188535682741,81.11621669486787,0.032037046416718645,0.016483624172196894,0.43634664991784294,0.04539424010513926,5.17433133804046
5,0.9013038277626038,"(0, 58, 238, 480)",137.21937769811314,133.38962210571518,39.650710959694415,26.594074011933277,38.304746257049636,44.8971759956668,76.12668716124143,80.19463873714541,0.034436863828994115,0.0174140078589882,0.43757516715080447,3.8297555923979587,4.067951575903976
6,0.9009690880775452,"(0, 57, 237, 480)",137.45069746005717,138.19782524751014,39.857402272510775,28.664776760306452,38.22983621089559,45.00661669099629,75.76573819064538,79.04557204236217,0.036542124840250295,0.015412075436748307,0.43829098380037673,0.7471277874529676,3.2798338517167878
7,0.9020074605941772,"(0, 58, 235, 480)",136.5471870209243,141.89683457419704,39.78611612826696,29.89317385287914,38.1511332318818,47.256981801234005,75.04462486471664,81.53662324165425,0.03619718238330968,0.013043001411355089,0.44113707841751076,5.349647553272746,6.491998376937616
8,0.9018775224685669,"(0, 58, 235, 480)",136.84662702868127,138.1247845049879,40.95281358289117,29.68960599721639,38.47195194500044,47.06422849903184,76.10545483420543,91.21843646662381,0.03467363580495565,0.013905809122916378,0.44150352794726705,1.2781574763066317,15.112981632418382
9,0.8993239402770996,"(0, 57, 236, 480)",137.89537339615788,137.16870666636885,41.69093155402265,30.401817887200703,38.58511564267496,44.9964989685645,75.5885543602167,80.81124402638267,0.03399035014126285,0.014919390758790906,0.44033489110234714,0.7266667297890308,5.222689666165962
10,0.9010530114173889,"(0, 56, 235, 480)",138.45645426245358,131.86277505337372,41.50326887316696,28.145857970858284,38.617882397323434,45.639723188852855,76.24577328239859,84.69664194035984,0.04061988267597893,0.014294289880420377,0.44040803173490667,6.593679209079852,8.450868657961252
11,0.904971182346344,"(0, 55, 234, 480)",138.37734943247483,133.64437979914902,41.42989165410431,29.19211307073554,38.576353853287756,45.60016935680858,76.1477450929899,82.54189578729651,0.041574555951297235,0.014814889364152366,0.44189975854307867,4.7329696333258084,6.394150694306617
12,0.8977174758911133,"(0, 53, 234, 480)",134.3945357247786,127.74639866259231,41.50067376926955,29.317507208132202,38.830525567000144,46.26145275841101,76.21217208698884,84.17402222488248,0.040148155598049656,0.014761023086841244,0.4412605008786411,6.648137062186279,7.961850137893634
13,0.9001560211181641,"(0, 51, 233, 480)",135.4993492984027,122.17074361023079,41.00251332106859,27.401072114394722,39.233044614627616,47.465106783906535,76.16963136482968,87.42912640128012,0.04431360006950141,0.00771003467802799,0.44122017347718084,13.328605688171919,11.259495036450431
14,0.8981986045837402,"(0, 49, 233, 480)",136.71661272240294,125.08614787181537,41.24677002391338,28.52452110490202,39.24139699708896,49.009892227564286,75.77831959604565,89.19428688330757,0.04611156375150139,0.005327654371353657,0.4415424497943383,11.630464850587572,13.415967287261921
