frame,person_confidence,roi_coords,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
1,0.937251091003418,"(63, 69, 270, 398)",154.44718340754298,155.35081942167068,47.11128028148206,46.79591994046131,71.86210501578826,57.549547465152415,149.62595222139086,116.32491581158355,0.020189028540507106,0.019960264984054312,0.35731719440284604,0.9036360141276987,33.30103640980731
2,0.9371928572654724,"(63, 69, 270, 398)",156.73090446203224,152.5916402426423,44.021970126049595,43.741978058554025,53.44003475252839,53.67764649351102,110.61919461362862,111.01357811315278,0.015180649256578013,0.032300815139081826,0.3860034244619553,4.139264219389929,0.3943834995241531
3,0.9372971653938293,"(63, 69, 270, 398)",151.2210866205115,153.9632685812433,43.36092785805387,43.20621308931979,54.47841142159927,53.39136891640031,109.51340750908356,108.44402171620655,0.023115071955111987,0.01397765837265207,0.39722054292122466,2.7421819607318128,1.0693857928770143
4,0.9386118650436401,"(64, 69, 270, 398)",153.40279642507454,152.76119338040417,43.861222204201205,43.853413592340644,53.03154598769988,54.21789248771348,105.62468908104239,107.72002354048693,0.01803064228918505,0.015392825421030824,0.3969023454657754,0.6416030446703758,2.095334459444544
5,0.938534677028656,"(64, 68, 270, 398)",148.76446752267742,152.33481873186233,40.99423117632621,43.64077270207108,52.767009206201195,54.76302228464358,104.80089276227426,107.22224927516628,0.02675821078930806,0.012784947569391861,0.3996501011471663,3.5703512091849063,2.421356512892018
6,0.9378641843795776,"(64, 67, 270, 398)",146.48355064471292,152.32103867181482,40.60435329890416,44.207378605978406,54.52901773923979,55.14881825215813,105.3030495768005,106.39720805329485,0.022947859353413556,0.01137958438829599,0.4010540282976366,5.837488027101898,1.0941584764943428
7,0.935033917427063,"(65, 66, 270, 398)",144.70803422177548,152.1763158494591,40.11162237030218,44.51358474044469,54.909676686170535,55.373295102137135,105.31958163492908,106.25997228309606,0.022641601349960946,0.012143831528014608,0.39839013367329096,7.468281627683609,0.9403906481669821
8,0.9334834218025208,"(65, 65, 270, 398)",147.29361277275618,154.01320707705858,40.962501551131716,45.07468038488594,55.55269100178186,55.38829491706457,105.60306114385403,106.61338931999981,0.02232068235606602,0.012150943978277932,0.3962056094939248,6.7195943043024045,1.0103281761457765
9,0.9334800243377686,"(65, 63, 270, 399)",146.46615161601173,154.1734624023956,39.12377689258559,44.6695747898534,56.311516109831835,55.78046986608891,107.67081532194318,107.4021959624348,0.025576243617328347,0.01122809533352336,0.39437973592668146,7.707310786383857,0.2686193595083779
10,0.9359512329101562,"(65, 62, 270, 399)",144.81057144605288,153.3691454445313,37.8632717447527,44.35153742880046,55.777013265647916,55.127142302121584,106.36424534976697,106.118304731938,0.02692851234796865,0.012356702333936815,0.3954681600360979,8.558573998478437,0.24594061782897825
11,0.9346586465835571,"(66, 60, 270, 399)",145.78395358204793,153.40123579668506,38.04646868770968,44.24488492658161,56.517533250762156,55.558943593209555,107.27988208564707,106.56483251920943,0.027030808714223,0.010227102086266983,0.39465112335737534,7.617282214637129,0.7150495664376422
12,0.9331585168838501,"(66, 58, 270, 399)",146.47104365419253,153.49498133675726,38.194917781804016,43.605514685631945,56.379249822569975,55.81938176620039,105.21920045135393,106.49301911397782,0.024207841351694816,0.014376345207112928,0.3911606517105802,7.0239376825647355,1.2738186626238956
13,0.9336286783218384,"(66, 57, 270, 399)",146.36227267413398,154.1846746831496,37.60439524777943,43.52186171801826,57.02444536768671,55.90362849228758,105.27003881035199,106.80510140320241,0.025061220822239407,0.017156253709801096,0.3875753895040778,7.822402009015633,1.535062592850423
14,0.9294611215591431,"(66, 55, 270, 399)",145.18499333475114,153.6697224051963,36.7445328149809,43.0588759476993,58.17916136447445,56.373538106031226,105.84484505467626,107.42612994972734,0.024414839298435513,0.019591674501632145,0.385310780117255,8.484729070445155,1.581284895051084
15,0.9273012280464172,"(67, 53, 270, 400)",145.08015685982707,153.14271453652515,36.62837301968361,42.789442396110864,57.85170372124608,56.204333227835704,105.95179739443338,107.9251693281796,0.02534368505873836,0.019386747125535134,0.38505914763529714,8.062557676698077,1.9733719337462219
16,0.9303526878356934,"(67, 50, 269, 400)",145.42923365829154,152.47069119953917,36.39980700101858,42.06248455550004,58.55838932320345,56.64842583590411,106.43425531135658,107.82953851153594,0.026615731189994787,0.019242024215963594,0.3863012743781886,7.041457541247638,1.3952832001793638
17,0.9309433698654175,"(67, 49, 269, 400)",145.8482525934152,152.43356451209863,36.24199479554726,42.00047914451472,58.47576233983934,56.62703703153012,105.67839513547028,106.75057608591136,0.026177053361404877,0.018737336859557245,0.38658407910919806,6.585311918683431,1.07218095044108
18,0.930992066860199,"(68, 46, 268, 401)",146.20374276117124,153.87353667864284,37.13324414394581,43.37527275007744,58.721460384025015,56.840538455168684,106.17416201693588,106.99507567674308,0.024201271886183585,0.02107097123930317,0.3834475368509025,7.669793917471594,0.8209136598072035
19,0.9290011525154114,"(68, 43, 267, 401)",145.47926429505839,153.98902815748664,36.992246057706,43.63887251483005,58.83102566087099,56.440373030347786,106.0330395848229,105.81616247271486,0.026623803211775075,0.022535893831600217,0.38154045664209385,8.509763862428258,0.21687711210803684
20,0.9287799596786499,"(68, 39, 266, 402)",144.09435452108315,154.2100627553855,35.22156196073311,43.529674039406025,59.029109912274386,57.328793557806144,105.60818627096526,106.75227930637823,0.02883268523850715,0.02341743069758738,0.3802844324288199,10.11570823430236,1.1440930354129648
21,0.928881824016571,"(68, 36, 266, 402)",143.9709690605733,154.0236752950719,33.89076250866756,42.81132797827573,59.52142370045712,58.945807612816395,105.62461148800381,109.53602692375071,0.029442865926173144,0.025297734461154082,0.37988099507922596,10.0527062344986,3.9114154357469033
