frame,person_confidence,roi_coords,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
1,0.9396700263023376,"(65, 141, 249, 423)",167.84489053018623,154.9605728988907,45.235450850944446,48.33652602503696,45.59415787869754,41.573173544994965,111.37036880373834,96.41975909800391,0.053040328099488276,0.0302951712933233,0.39744145979432033,12.884317631295545,14.950609705734436
2,0.9402503371238708,"(65, 141, 249, 423)",162.66992403863168,153.90153484027763,42.87445915538845,46.41886632124461,42.734546391976586,39.86234311321865,105.00830327400374,93.05237995628103,0.0473201693625991,0.0323674653100239,0.4124541434799238,8.768389198354043,11.955923317722707
3,0.9404940605163574,"(65, 141, 249, 423)",159.04692463401577,153.15866079093865,41.719822379023476,45.50865052122312,41.44140017622783,39.07205788438081,102.50437418092909,91.46243426622638,0.046495076793555495,0.033485952374871036,0.41892346252833756,5.888263843077112,11.04193991470271
4,0.9405258893966675,"(65, 141, 249, 423)",156.36728713671036,152.94954764459877,41.50778556560592,45.30946270130317,40.669561894524705,38.58622519168637,101.35546611365837,90.78791120881402,0.046469346046349225,0.032836986385763614,0.42163721010274036,3.4177394921115933,10.567554904844343
5,0.9399174451828003,"(65, 141, 249, 423)",155.15353058422744,152.81436752888115,41.452245482947546,45.41270636585816,39.96435493225347,38.31756613015446,100.66700348683378,90.80882731629832,0.046279417103074226,0.0320214652687608,0.42257378255747025,2.3391630553462903,9.858176170535458
6,0.9389840364456177,"(65, 141, 249, 423)",154.97415833233285,152.79191832378692,41.28834499114667,45.42581643962502,39.75146201202337,38.24543857638875,100.33489403822423,90.87069722355153,0.046382869019215615,0.03151553376347449,0.42305674863184695,2.182240008545932,9.464196814672704
7,0.9403603672981262,"(65, 140, 249, 423)",154.69842298917504,152.56082305172137,41.107265743299244,45.55469039891965,40.18924889993401,38.45192850414111,102.50909529766462,91.91203734593965,0.045269883795822904,0.031384883344844974,0.4232151644492904,2.137599937453672,10.597057951724963
8,0.9399051070213318,"(65, 140, 249, 423)",153.59073609429083,152.66674015891005,41.094222916887574,45.711555598978535,41.09779318461187,39.68227319735187,103.90613625222291,93.814282229776,0.04490925922390647,0.031068914231810883,0.4234580721034988,0.9239959353807876,10.09185402244691
9,0.9378094673156738,"(65, 140, 249, 423)",153.2891791699766,152.79793097776368,41.31039042593145,45.8806896739359,41.72025224170164,40.384281845489895,104.76813909167805,94.75747918510527,0.044781210122815454,0.03074083010292436,0.4230641762610634,0.4912481922129075,10.010659906572783
10,0.937811017036438,"(66, 140, 249, 423)",153.09105920344263,152.01213569990966,41.40153206927852,45.632716297180686,42.600640641861276,40.98984842309013,106.255356985706,96.05276448546365,0.045730645144944404,0.03141924692701899,0.4236281774773293,1.0789235035329625,10.202592500242346
11,0.9366828799247742,"(66, 140, 249, 422)",153.139388224937,151.74600335421442,41.75556285353852,45.4474513586969,42.851935958102395,41.59656210680445,106.23146135054691,96.77642792953407,0.04593272959536096,0.03195865199114368,0.42486484938682634,1.3933848707225707,9.455033421012843
12,0.9368733167648315,"(66, 139, 249, 422)",152.47068007450005,151.27717210346307,41.69413135210844,45.27663219776373,43.56285585255969,42.25051778703141,106.7855871660878,97.36092049182132,0.0466759960453626,0.03164760694860005,0.4234467299992497,1.1935079710369791,9.424666674266476
13,0.935757577419281,"(66, 138, 249, 422)",152.0797395728984,151.18423740070108,41.422239025807784,45.31847495662379,44.484464611732214,43.18850998745883,107.44880008039796,98.82575162272255,0.04600072237139449,0.0313995793772878,0.42313586604689607,0.8955021721973253,8.62304845767541
14,0.9366547465324402,"(66, 136, 249, 423)",152.49404036578218,151.14532489293003,40.969398165484506,45.22563280992439,46.64973472402573,43.93698099339683,110.49746689659379,99.37308054154335,0.04501679465507765,0.03161419838145119,0.42314734935159404,1.3487154728521489,11.124386355050447
15,0.9367349743843079,"(66, 136, 249, 423)",153.88667573330818,151.18347216814024,42.38249430136738,45.08888590263157,46.42337435556366,44.907227011988695,110.01522004649091,99.54635460613093,0.0447388701203675,0.03120913990749242,0.42288909245336903,2.7032035651679394,10.468865440359977
16,0.9393323659896851,"(66, 135, 249, 423)",154.36548727993056,151.3044104937609,43.206794974957674,45.05849704217034,46.202646415540265,45.36213392668792,109.50850949917437,99.5803190188279,0.04413756235988866,0.030294311530285833,0.4221485585041026,3.06107678616965,9.928190480346473
17,0.939575731754303,"(67, 135, 249, 423)",154.0696372679453,151.40808540903848,43.516610871278864,45.377669393068835,46.637129836364885,45.11903302530323,108.95174834128801,98.6913986690579,0.04382209559754977,0.02913574604449868,0.42311405215626574,2.661551858906819,10.260349672230106
18,0.9379740953445435,"(67, 134, 249, 424)",152.9751349648463,151.16921302587374,44.561125724949484,45.58024802114321,47.09591026537791,44.98769668610558,108.66212061642439,99.29196834600684,0.04231650898708842,0.024555556568552416,0.42165128620095405,1.8059219389725456,9.370152270417549
19,0.9356839656829834,"(67, 133, 249, 424)",153.0404089607468,151.09354834793015,44.7573688100483,45.59766339370374,47.21590768397328,45.35555106892898,108.3697487866974,99.00096048851076,0.041655337392769484,0.023544504039646114,0.421875576954926,1.9468606128166357,9.368788298186644
