frame,person_confidence,roi_coords,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
1,0.9381591081619263,"(0, 97, 237, 405)",149.72889360863417,152.43411279532407,37.932130169693714,42.18831939304497,47.011897031374254,44.89200560719138,104.10143430821486,93.73160790732582,0.027202365655149746,0.03354390800267833,0.3939638913449143,2.7052191866899022,10.369826400889039
2,0.9399347305297852,"(0, 98, 237, 406)",150.65153892533138,152.65877064722102,39.085933971865714,41.956125902901285,46.710383192208205,44.42194159981852,103.90881159149097,96.34684978145017,0.0292669180649865,0.028615522897214484,0.3884752504166906,2.0072317218896387,7.561961810040799
3,0.9407114386558533,"(0, 100, 238, 405)",152.0204508295605,153.1749543808128,40.29781166638483,42.450902609115026,46.018663165468965,44.65528060263614,104.02051313318682,97.91015528370657,0.026978494366128807,0.025487039743696625,0.3856756152075246,1.1545035512523043,6.110357849480252
4,0.9408503770828247,"(0, 101, 238, 405)",152.45939971325123,152.97257672286545,41.13174369143779,42.89291744882091,46.00803746903574,44.46429588016391,105.14656538169052,98.84063493729906,0.026555770005060955,0.022022767437147275,0.3846020769499689,0.5131770096142247,6.305930444391464
5,0.9413424730300903,"(0, 102, 240, 405)",151.95942463320182,153.09003893107393,40.88258006974914,43.306671826732746,46.31448318459249,44.416160597567256,106.00463973749518,99.49014082296857,0.025545233190798083,0.019171071099619085,0.38179057552871953,1.130614297872114,6.514498914526612
6,0.9416996836662292,"(0, 103, 240, 405)",152.5721763400124,152.92963686696558,41.19813781598717,43.842718091942125,48.237998780744384,45.032050678734166,108.23802587219816,100.96284133920993,0.026146447202794843,0.019211251119329514,0.38044216483597065,0.3574605269531901,7.275184532988234
7,0.9418067932128906,"(0, 104, 240, 405)",152.78456121718486,153.08189807052733,41.56285805019295,44.4149874347638,49.563294501036374,45.67887618427105,109.6733485891818,102.66953042859045,0.026543124630406954,0.01888032863678838,0.37933119909323154,0.29733685334247184,7.003818160591351
8,0.9420789480209351,"(0, 105, 241, 405)",153.39145536231425,153.17127117834656,41.7362766518702,44.77579346511257,50.87244765604591,46.39007302650218,112.00981224787354,104.4327353071993,0.026171334606613906,0.018174317708065973,0.3777932815228737,0.2201841839676888,7.577076940674246
9,0.941706657409668,"(0, 106, 241, 405)",154.53898419358129,153.70635665725356,41.64606567227579,45.17148653957423,52.325504026068934,47.632287890664735,114.33164936841563,107.25933573341298,0.025829571545651082,0.016800322659670706,0.37716045870053516,0.8326275363277205,7.072313635002644
10,0.942707359790802,"(0, 108, 241, 404)",155.744328046918,153.38166941116205,41.07113806543159,45.566410310507834,54.35066794220012,49.318481242575835,117.61684311465663,111.28125365711342,0.024956032730136173,0.016744639866308503,0.3785501330563967,2.362658635755963,6.3355894575432075
11,0.9419835805892944,"(0, 109, 241, 404)",160.40850160069337,153.659211095201,40.97686825899789,46.07601449164993,55.835956615772346,51.186444017551736,120.38348903407498,114.90984014196358,0.026476781030951003,0.018476638390243705,0.3778766022228925,6.749290505492382,5.473648892111399
12,0.9395060539245605,"(0, 110, 241, 404)",158.82134080252925,153.44326820893886,41.425834720719166,46.800686641085164,56.63929684862283,52.41585689761145,122.76185374828643,117.38610813495616,0.027458097840219242,0.018054452571859857,0.376900705248484,5.378072593590389,5.375745613330267
13,0.9389985203742981,"(1, 112, 240, 403)",156.7738866054476,153.2778202635079,41.09099047332866,47.46195508846993,57.84075182930659,54.02021587222324,125.59574082748419,120.47039793934817,0.028523458055372965,0.017149802721774157,0.37944304974541776,3.496066341939695,5.125342888136018
14,0.9412498474121094,"(1, 112, 240, 403)",155.21481132267485,153.3550222389581,40.179599704456315,47.30469575717357,58.719477369103664,54.17200424401729,126.64153686613372,120.1175192567304,0.029768990815289696,0.01719440763386019,0.3792445034120796,1.8597890837167483,6.524017609403316
15,0.9354470372200012,"(1, 111, 239, 403)",156.50476313759592,153.74128043557255,39.35148195129262,47.793479469048435,60.402530226070304,55.19617759585288,130.8846987573328,123.75794717772702,0.03162833024011437,0.01840170685358291,0.3798188400349311,2.763482702023367,7.126751579605795
16,0.935660719871521,"(1, 110, 238, 404)",155.36979526193463,154.00858223778985,40.110490858500825,48.07535594715496,60.11419398744217,56.25342829106576,131.4418956130648,128.10254516390378,0.031451868823484753,0.015855935639529268,0.3781996453928385,1.3612130241447744,3.339350449161003
17,0.9339500069618225,"(1, 108, 238, 404)",154.40018838319054,154.39922090196714,40.4476872200384,47.80608949204874,60.04171327090756,57.0445291042119,132.61010287348202,129.13689015850818,0.029848569245769643,0.014885802347445012,0.37751142913861113,0.0009674812233981811,3.4732127149738403
18,0.9354011416435242,"(1, 106, 236, 405)",152.3033948106167,154.3082782823642,40.935101828299295,48.02905255563332,60.30911354086362,57.63374620083326,135.28258571385751,131.2498638825897,0.031030078516158792,0.015245340103856291,0.3787789243214718,2.0048834717474904,4.032721831267821
19,0.9355130791664124,"(2, 104, 235, 405)",152.18830409026768,154.09199984377716,41.800158844481025,47.9420324650769,60.12424537697489,56.84769081422818,134.9631999816341,130.85331099749138,0.03293781985920428,0.014386721494602897,0.38094011117838783,1.9036957535094814,4.109888984142714
20,0.9386782646179199,"(2, 102, 236, 405)",151.2408825560188,155.4564608166713,42.76518573632432,47.69918452289991,59.69852774994723,56.96042564846735,135.18295772999156,130.93601745817884,0.030521513520897197,0.013434701163521554,0.37762366651795415,4.2155782606525065,4.2469402718127185
21,0.9327636957168579,"(2, 101, 233, 405)",150.396552555916,155.556722882808,43.76966106713255,47.54173122279723,60.38995722605145,58.40567289554377,138.9552946709213,135.40524968286078,0.029058518516608105,0.01359432731779665,0.3804686916775721,5.1601703268920005,3.550044988060506
22,0.9394389986991882,"(2, 98, 234, 405)",148.22288890218175,152.74520205801127,43.52774510526204,47.37389118958159,60.056712103255215,56.98529984287823,139.25498912001495,135.30920542813473,0.03290920273837303,0.009919105074090518,0.37351360269417005,4.522313155829522,3.945783691880223
23,0.9401611089706421,"(3, 96, 233, 405)",147.49169648524082,150.15309603197616,43.78175296314305,47.22446730936701,60.53154080754356,57.70396487949059,141.67908278540273,137.94137683855087,0.03373776312312222,0.008976935614755236,0.374504775233818,2.661399546735339,3.737705946851861
24,0.9440293312072754,"(3, 94, 232, 406)",146.47122712626617,150.29069305229095,44.16289473241315,47.39992631425406,60.355233084239146,58.05030575869908,142.6613558522659,139.45135565827394,0.03249457592279979,0.008180480834501446,0.37428730389201836,3.819465926024776,3.2100001939919593
25,0.9413710236549377,"(3, 93, 231, 406)",146.2354283748062,150.50094272054787,43.999822255102906,47.11628401100067,60.65694713645092,58.07175253527593,143.95427200548247,139.380683541925,0.030985600725483998,0.008420569141188081,0.3756528571751568,4.265514345741678,4.573588463557456
26,0.9433730244636536,"(4, 91, 231, 406)",145.54049491882787,150.55827722213232,43.383681700583026,46.82241519320801,63.57178704027612,60.26153308942982,149.8791541978249,143.84891171925307,0.032841697717171985,0.009283115931084614,0.37704009704472163,5.017782303304443,6.030242478571836
27,0.9443881511688232,"(4, 90, 230, 407)",144.70762827467962,150.94588349056778,42.71888069153581,46.536539774825705,63.81317626008808,60.44243632200214,150.05962620213492,143.7756494561607,0.03294789813837706,0.010726246098163058,0.37707922808281746,6.2382552158881595,6.283976745974229
28,0.9368250370025635,"(5, 87, 231, 408)",145.73249783317,150.95127628448046,42.23687129595974,46.31765794755354,64.23996765026155,61.56003871870359,151.88835245330566,147.11323058835285,0.035568567575822496,0.0122118802407582,0.37435461140377185,5.21877845131047,4.775121864952808
29,0.9397196769714355,"(6, 85, 230, 408)",143.89982992877964,150.877819709024,41.080560968694265,45.85839203405187,66.64226232235993,63.470295573655925,156.5844459475586,150.3741398604445,0.03703325046743327,0.012440047126002237,0.37258913192363874,6.977989780244371,6.210306087114105
30,0.9419417381286621,"(6, 83, 229, 409)",143.61632150451877,150.96287902632199,40.326499788191946,45.75502408370686,66.99459998870513,64.02627793236105,156.7843847510125,151.52918808199047,0.03494156919812593,0.011128838197802172,0.3728861174427675,7.34655752180322,5.255196669022041
31,0.9441415667533875,"(6, 81, 228, 409)",143.4037264775353,150.2242063034753,39.494129917832176,44.840954296796546,67.63998388866895,64.82972674412717,157.84522187148815,153.87737298658146,0.035680033313090116,0.011155664989595806,0.3732877129753114,6.820479825940026,3.9678488849066866
32,0.9436107277870178,"(7, 79, 228, 409)",143.27785808247145,149.83225004044047,39.69545056403226,44.71282199049736,68.04871667620377,65.41402206543131,158.91266402961128,154.36696890526005,0.03384891754952545,0.0113460822025058,0.3712759456113115,6.554391957969017,4.5456951243512265
33,0.9456396102905273,"(7, 77, 228, 409)",143.5076567813508,149.2734756365471,38.87876562561957,43.43032422492771,68.0617158903696,65.70994770714158,157.58020635233794,153.66424624219644,0.03260825235325061,0.012639163429972835,0.36931952014135955,5.765818855196301,3.915960110141498
34,0.9455254077911377,"(8, 75, 227, 409)",145.25351770091737,148.62254012704295,39.499572390357685,42.351993307190014,69.44234034355115,66.45839744232698,158.9255745171524,154.56661484050386,0.03125756050207641,0.011587184683647363,0.36860614492876603,3.369022426125582,4.358959676648539
35,0.946317195892334,"(8, 73, 227, 409)",146.74168403543786,149.36352084903535,39.24767158349083,41.53220849559547,71.01506513219435,67.30816197803914,160.21124792444218,155.54502012697242,0.030610979534585858,0.011288844394388481,0.3678385242262142,2.621836813597497,4.666227797469759
