frame,person_confidence,roi_coords,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
1,0.922670841217041,"(98, 87, 263, 427)",142.1672599377663,154.0288532235982,28.156782493900014,36.629942308774545,46.55479523564452,40.93839640124045,83.72229130274845,69.50100572052732,0.04800532585164661,0.027703665738299164,0.3903243301569654,11.861593285831901,14.221285582221128
2,0.9195676445960999,"(98, 86, 263, 427)",134.04330779290981,150.38714357386638,27.193097160151478,35.26734491068656,51.36672372685843,38.094140676537194,100.22116572054597,62.436746973323935,0.0790677164070016,0.04788895785909857,0.40239224955762115,16.343835780956567,37.784418747222034
3,0.9164911508560181,"(99, 84, 263, 427)",126.02942337368565,149.12184717570707,22.2960660319603,34.02840444173303,52.874929336893075,37.1225531545063,109.02174651352836,62.90339633366758,0.08248995924048032,0.05754724094689772,0.410282647887748,23.09242380202143,46.11835017986078
4,0.917050838470459,"(99, 83, 262, 427)",129.67939179354636,155.23808456273005,21.85057938130097,33.73993883908101,47.48300157626928,36.99412145625843,96.1901619459904,63.78171311045487,0.08270377421191025,0.056830407038864474,0.413065123746961,25.558692769183693,32.40844883553553
5,0.9115758538246155,"(99, 81, 262, 428)",129.2339096733999,164.1439334513755,20.020809873939015,33.81594010251849,53.35399129758046,37.27768615911173,106.80176842586545,64.09451898804784,0.08186528670441343,0.056322813194127144,0.4120540384948323,34.910023777975596,42.70724943781761
6,0.91475510597229,"(99, 79, 261, 428)",129.58230924667475,163.91555156404993,20.753518075747948,34.48793902092796,53.788401186086936,37.79504115281985,106.37137277747337,64.37437142549146,0.08019567324236224,0.05559443680471067,0.41308606062721204,34.33324231737518,41.99700135198191
7,0.911095142364502,"(100, 76, 261, 428)",126.58891835806932,146.90209699121868,21.688593447724205,34.855317165651606,52.649480044706536,38.323832296206824,103.55440679519845,64.88601452753169,0.07983851999405572,0.053647277461173586,0.4118158256613983,20.313178633149363,38.66839226766676
8,0.9084849953651428,"(100, 74, 260, 429)",124.61388850334139,145.6870868435081,21.818224803684615,34.844657045308715,52.38639617122695,38.65121811686841,100.08256470035897,64.94780970103785,0.08054694067704392,0.05243954031507446,0.4118026804613718,21.073198340166712,35.13475499932112
9,0.9024720191955566,"(100, 72, 259, 429)",121.21588116049136,141.71489116475084,21.983719833428623,35.11094179865127,51.958870390927686,38.78599973675419,98.61565658014729,64.71351793371231,0.08046626140729093,0.052501511156837065,0.41255461822210804,20.499010004259475,33.90213864643498
10,0.9052349925041199,"(101, 70, 259, 430)",124.49505754929058,142.51194899078885,23.842091489793937,34.925503309722,51.105916498325854,39.201848609255165,95.02710929849087,64.32798266444405,0.08288604569568837,0.05363836549868349,0.4118704622602655,18.016891441498274,30.69912663404682
11,0.9132474660873413,"(101, 67, 258, 430)",126.45921152190223,142.4048055480322,24.72296621949058,35.094838740743164,50.397482632770156,39.28549207463132,92.10959027073389,64.32779587986992,0.0835106763394755,0.053283570393802396,0.41347550761171237,15.945594026129953,27.781794390863965
12,0.9118390083312988,"(102, 64, 258, 430)",127.88303079943667,144.32202641048218,25.816014278684662,36.335620381147606,50.09381277518463,39.69077477884233,89.83211834831097,65.07443294821087,0.08269918807293318,0.04876376549460727,0.4121976046652922,16.438995611045513,24.7576854001001
13,0.9195512533187866,"(102, 62, 257, 430)",129.32885442875536,143.24992616141515,26.82044746975472,37.00732820034205,52.62250713311601,40.02313905857392,91.84835225551937,65.92384452028126,0.08433379185376917,0.04793206071298706,0.411206895330187,13.921071732659783,25.92450773523811
14,0.915057361125946,"(102, 58, 256, 431)",129.92123702464497,142.02589358057054,28.641926163150252,38.458594036030746,54.298595060761556,40.540618558864416,93.05544115834755,66.63292511362468,0.08065652274215743,0.045166464177939486,0.41095743838835463,12.104656555925573,26.42251604472287
15,0.9156152606010437,"(103, 55, 256, 431)",129.97503007075076,144.64331435520813,29.577183070227917,40.282288275686284,54.42583124824972,41.19376187212186,93.23187645209828,67.69790683517333,0.07796980736389615,0.0418580546326523,0.40862337087368883,14.668284284457371,25.53396961692495
16,0.9139561057090759,"(103, 52, 255, 431)",131.81919643007444,146.63085849488644,31.415754192641657,41.822187422852885,55.37058427612779,42.128768827390886,92.24500929762185,68.85054423722596,0.07466657829456494,0.04037898279381675,0.407664502947667,14.811662064811998,23.394465060395888
17,0.9179736971855164,"(104, 50, 254, 431)",131.26719267471302,147.0341631087071,34.39412102438761,43.08972312439965,55.84736629624403,42.932766249846374,91.06651539278458,70.1466012463574,0.0743901067421587,0.03887540690626427,0.4059739428364877,15.76697043399409,20.919914146427175
18,0.9161971807479858,"(104, 46, 253, 432)",132.7806698920901,144.12830284374675,39.82280901967704,43.421815754607444,49.55446413776104,43.98923652730374,66.51691356237662,70.53960351412849,0.06917106570330105,0.03533859863032531,0.4039554831997563,11.347632951656664,4.022689951751872
19,0.9099248647689819,"(105, 42, 252, 432)",136.31292007641667,141.51483156183372,43.093515393250904,43.28744675916741,50.12606376888006,45.10963717098292,64.72873088245348,70.7308281682365,0.06830304821670734,0.03440538228370842,0.4004124937295508,5.2019114854170425,6.002097285783023
20,0.908758819103241,"(106, 39, 251, 433)",140.73397351635566,136.75270311970556,46.15626171964749,42.10930967274145,51.73133385262215,45.78993186807536,64.34630453814793,71.1833463148663,0.07282745803266812,0.03434102713964496,0.3954831745746189,3.9812703966501033,6.837041776718365
21,0.9074736833572388,"(107, 37, 250, 433)",141.18153465789263,132.89699834531064,47.78218804911118,40.543908555015065,52.34684932777346,46.59151005587954,65.0266370732807,72.65385855917845,0.08059486525606491,0.0348759828419785,0.3891370290671094,8.284536312581992,7.627221485897749
22,0.8944075107574463,"(108, 33, 248, 433)",136.2112658066623,129.13886839111632,48.09058704687485,39.322914409907966,53.23020761912072,47.42427690026645,63.79966580083123,72.18347140617136,0.0947591286669952,0.04270339223878612,0.38469049140087525,7.072397415545993,8.383805605340136
23,0.8867049813270569,"(109, 29, 246, 434)",136.57424339137228,128.13737627782845,49.943893694177966,39.67617715900353,55.46480325515214,48.872404450137765,66.41473819375364,70.89926241018865,0.09804373240498847,0.04816592289255265,0.382020328145979,8.436867113543826,4.48452421643502
24,0.8826631307601929,"(110, 25, 247, 433)",138.508879462913,130.92288604849628,51.5592585749232,40.781857779186126,66.70931810648919,49.60285126848021,102.21212360809336,68.64765857889786,0.0928509055890929,0.04712370831803153,0.3795972460255132,7.58599341441672,33.5644650291955
25,0.8852863907814026,"(111, 22, 246, 434)",136.39530956392116,131.3042912505769,51.20415299203594,39.98548012634714,69.26222313637257,51.08992160899043,99.32413995618907,68.35229634141645,0.0980342585576116,0.04966471557036644,0.3741446738351865,5.09101831334425,30.971843614772624
