frame,person_confidence,roi_coords,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
1,0.9420915246009827,"(31, 149, 232, 426)",164.96093405485908,149.72931539948542,42.225016187263606,41.070789974837176,39.09462600543624,38.05376602502397,98.2636771548149,87.05664353295914,0.05412339085210686,0.028759590449278262,0.4127308344344747,15.231618655373666,11.207033621855757
2,0.942850649356842,"(31, 150, 232, 425)",165.3241423376468,151.00258395841058,43.17093459281222,42.84337751854202,50.903603146021375,40.400038991296604,124.81746934532312,92.96953846267168,0.05309535779784085,0.02523132906353025,0.40650631909258084,14.321558379236222,31.84793088265144
3,0.9451179504394531,"(30, 152, 233, 425)",162.99148272686347,151.14165211622262,42.41086230059965,43.672250114404726,55.684411804593864,41.70511129255241,132.4162716220783,94.72590973812534,0.05054991791477614,0.022944746615341325,0.398329151791782,11.84983061064085,37.690361883952974
4,0.9467133283615112,"(30, 153, 234, 425)",161.55434101039302,151.23459296349117,42.93993106062356,44.06423224744305,50.46305011018377,42.244298352533896,118.55566732269709,95.29083058320671,0.050466222848758645,0.02381165927207308,0.3942363310174588,10.31974804690185,23.264836739490377
5,0.9468470811843872,"(30, 155, 235, 425)",162.1028955543896,151.52995618121366,43.40544148693804,44.20236227424046,48.556754860518105,43.29310911684289,112.93996567334071,96.09347067255105,0.05048746617015117,0.02438365953639203,0.39188635388025045,10.572939373175927,16.84649500078966
6,0.9478053450584412,"(30, 156, 236, 425)",163.1287983957714,151.9261849728789,43.26633479907509,44.043094355403746,49.03781462876792,44.26039052278757,111.48031219747338,96.67395775215017,0.05057248729048624,0.02555772142417888,0.3918008262760194,11.202613422892512,14.806354445323208
7,0.9484712481498718,"(30, 157, 236, 424)",163.67703715107444,152.42680210718007,42.93392995187186,44.36458537163138,49.24613062007483,44.79436876154368,110.60656681359181,97.10235506397474,0.05082700721719765,0.02564151784322502,0.39332730409183625,11.250235043894378,13.50421174961707
8,0.9483124613761902,"(30, 159, 236, 424)",166.90558913696896,153.02119147400717,42.425080743744424,44.41864446439356,50.157176899921254,45.49859381367162,110.86601053495359,97.56349001555427,0.05138921425379775,0.026725579088596168,0.3950758034688546,13.884397662961788,13.302520519399323
9,0.9484097361564636,"(30, 161, 236, 424)",164.45934592325193,153.27265922841198,40.17097829769188,44.675623594426206,51.13170600491943,45.823950217077694,111.57999102107934,98.09698043136271,0.05304546194254305,0.028933010305267046,0.39662752260478507,11.186686694839949,13.483010589716628
10,0.9497014880180359,"(30, 162, 236, 424)",165.053256951199,152.9315265849622,40.245247985541155,44.18110778517418,51.29588471416029,46.110027411005795,111.71855457402509,98.18468872919632,0.05372814635271598,0.03029833798641192,0.39781638940415753,12.12173036623679,13.533865844828767
11,0.9504462480545044,"(30, 163, 235, 423)",164.66574893214894,152.98440821082534,40.06726418957122,44.54347993628755,51.417278393770275,46.131230352871874,111.8983797567616,99.01535053458362,0.05379374348148469,0.029019884893232713,0.40039634292091975,11.681340721323608,12.883029222177981
12,0.9513431191444397,"(31, 165, 235, 423)",163.432313429827,152.4529199506403,36.631261050461184,44.1861028655468,60.55662928179315,45.92127552678937,134.97711889001457,98.81665041206854,0.055960928230556484,0.032309990829815574,0.40620971711704323,10.979393479186683,36.160468477946026
13,0.9520006775856018,"(31, 165, 235, 423)",160.43750804932782,152.04691972051478,35.54837452100586,44.45321929284146,62.21741359619782,45.61951710026792,138.05680039075716,99.00305485737746,0.056457331622891696,0.03078785846305197,0.40826179245730326,8.390588328813038,39.0537455333797
14,0.9506451487541199,"(31, 166, 233, 423)",166.45114513685348,152.2638858325961,34.69076671550223,45.18073377904373,56.782234888604606,46.08005540653327,125.58321605856696,100.61854307902172,0.05579807705405191,0.026713648989882943,0.4119494399086722,14.187259304257395,24.96467297954524
15,0.9486700296401978,"(31, 165, 233, 423)",167.79491518186308,152.15455169629234,35.84937855696741,45.052141765663606,54.46737296444759,48.93506092175907,121.34697615677864,109.9413047536141,0.05216861938367446,0.02572493976163255,0.4098074939455234,15.640363485570731,11.405671403164533
16,0.9483882784843445,"(31, 164, 232, 423)",166.02384420278648,152.12784328901307,36.25764312858703,45.34157611947761,53.24362078842434,50.86980782626098,118.65527789627951,116.13730019670014,0.05124663552507981,0.02407963222189006,0.4088603315515056,13.896000913773406,2.517977699579376
17,0.9480112195014954,"(31, 163, 231, 424)",164.52780006192606,151.61697860357867,36.619433125112785,45.31228216736822,52.58191768477497,50.92109590348158,117.50423441336704,117.03689877538373,0.05056399936473742,0.023428999808157106,0.40845403500762717,12.910821458347385,0.4673356379833109
18,0.9477659463882446,"(32, 163, 230, 424)",166.05955347751825,151.48777281229883,36.61294131468136,46.08362307894555,52.977309599394545,51.87555704106293,117.7363933938006,119.09755830187808,0.04788486213262507,0.021931672058917977,0.40920701534453674,14.571780665219421,1.361164908077484
